animal_id,Island
0A,FlatRock
100A,FlatRock
101A,FlatRock
101B,FlatRock
102A,FlatRock
103A,FlatRock
104A,FlatRock
105A,FlatRock
107A,FlatRock
109A,FlatRock
110A,FlatRock
111A,FlatRock
113A,FlatRock
114A,FlatRock
11A,FlatRock
11B,FlatRock
120A,FlatRock
12A,FlatRock
12B,FlatRock
13A,FlatRock
13B,FlatRock
140A,FlatRock
141A,FlatRock
14A,FlatRock
14B,FlatRock
150/0,FlatRock
150A,FlatRock
151A,FlatRock
152A,FlatRock
153A,FlatRock
154A,FlatRock
155A,FlatRock
156A,FlatRock
157A,FlatRock
158A,FlatRock
158B,FlatRock
159A,FlatRock
15A,FlatRock
15B,FlatRock
160A,FlatRock
16A,FlatRock
16B,FlatRock
170A,FlatRock
17A,FlatRock
17B,FlatRock
180A,FlatRock
18A,FlatRock
18B,FlatRock
190/0,FlatRock
19A,FlatRock
19B,FlatRock
20A,FlatRock
20B,FlatRock
21A,FlatRock
22A,FlatRock
22B,FlatRock
23A,FlatRock
23B,FlatRock
24A,FlatRock
24B,FlatRock
25A,FlatRock
25B,FlatRock
27A,FlatRock
28A,FlatRock
28B,FlatRock
30A,FlatRock
31A,FlatRock
31B,FlatRock
32A,FlatRock
32B,FlatRock
33A,FlatRock
33B,FlatRock
34A,FlatRock
34B,FlatRock
35A,FlatRock
35B,FlatRock
36A,FlatRock
36B,FlatRock
37A,FlatRock
37B,FlatRock
38A,FlatRock
38B,FlatRock
39A,FlatRock
40A,FlatRock
40B,FlatRock
41A,FlatRock
43A,FlatRock
44A,FlatRock
45A,FlatRock
46A,FlatRock
48A,FlatRock
48B,FlatRock
49A,FlatRock
50A,FlatRock
50B,FlatRock
50C,FlatRock
50D,FlatRock
51A,FlatRock
52A,FlatRock
53A,FlatRock
54A,FlatRock
55A,FlatRock
56A,FlatRock
57A,FlatRock
57B,FlatRock
58A,FlatRock
58B,FlatRock
59A,FlatRock
59B,FlatRock
60A,FlatRock
