animal_id,sex,age,date,svl,tail-length,body-mass,feeding,,,,
1/7A,female,3.7,5/19/16,16.2,22.8,160,high,,,,
1/7A,female,4.7,5/14/17,NA,NA,230,high,,,,
1/7A,female,5.9,9/2/18,21.5,30.3,425,high,,,,
1/7A,female,6.7,5/18/19,23.5,31.6,510,high,,,,
1/8A,female,NA,5/19/15,21,27.2,350,high,,,,
1/8A,female,NA,5/14/17,23.5,30.5,485,high,,,,
1/9A,female,3.7,5/19/15,16.7,22.9,238,high,,,,
1/9A,female,5.7,5/16/17,20.7,28.2,150,high,,,,
1/9A,female,7.7,5/18/19,24,32,607,high,,,,
1/0B,male,6.5,3/21/96,21.2,28.3,330,high,,,,
1/0B,male,12.7,5/20/02,25.5,33.6,610,high,,,,
1/0B,male,14.7,5/16/04,25.8,34.2,563,high,,,,
1/0B,male,15.7,5/14/05,25.9,34.2,700,high,,,,
1/0B,male,18.7,3/28/08,26.4,34.7,720,high,,,,
1/0B,male,23.7,5/21/13,27,35.6,695,high,,,,
1/0B,male,25.7,5/19/15,27.6,35.3,645,high,,,,
1/0B,male,27.7,5/17/17,27.5,35.2,595,high,,,,
2C,female,NA,5/16/02,22.5,31.1,474,high,,,,
2C,female,NA,5/12/04,24.2,32,480,high,,,,
2C,female,NA,5/13/05,25.5,33.5,685,high,,,,
2C,female,NA,5/11/08,27.4,34.7,991,high,,,,
2C,female,NA,5/13/10,28.2,35.3,902,high,,,,
2C,female,NA,5/16/11,28.5,35.9,940,high,,,,
2C,female,NA,5/18/13,29.4,36.4,903,high,,,,
2C,female,NA,5/22/15,29.2,36.3,860,high,,,,
2C,female,NA,5/19/16,29.7,39.7,927,high,,,,
2C,female,NA,5/17/17,29.4,39.5,885,high,,,,
2D,female,3.8,6/25/02,17.3,24.9,170,high,,,,
2D,female,5.7,5/13/04,21,30.6,345,high,,,,
2/6B,female,4.7,5/18/15,17.3,24.2,183,high,,,,
2/6B,female,5.7,5/19/16,18.2,26,220,high,,,,
2/6B,female,6.7,5/14/17,20.2,28.5,298,high,,,,
2/6B,female,7.9,9/3/18,23.3,32.9,540,high,,,,
2/6B,female,8.7,5/18/19,25,34.6,635,high,,,,
2/7A,male,NA,5/21/13,26,35.5,640,high,,,,
2/7A,male,NA,5/17/15,28.8,37.8,890,high,,,,
2/7A,male,NA,5/17/16,30.5,40.6,1160,high,,,,
2/7A,male,NA,6/23/16,31.2,40.5,1125,high,,,,
2/8A,male,NA,5/21/13,31.5,37.4,1095,high,,,,
3D,female,0.5,3/21/90,10.48,14.92,42,high,,,,
3D,female,2.5,3/24/92,15.24,NA,170,high,,,,
3D,female,4.5,3/20/94,16.9,NA,184,high,,,,
3D,female,12.8,6/18/02,20.5,NA,380,high,,,,
3D,female,14.7,5/16/04,22.5,NA,472,high,,,,
3D,female,15.7,5/15/05,22.4,NA,490,high,,,,
3D,female,23.7,5/21/13,26,NA,587,high,,,,
3D,female,25.7,5/22/15,25.5,NA,464,high,,,,
3E,female,NA,3/11/98,26.2,34.7,750,high,,,,
3E,female,NA,6/30/01,28,35.8,NA,high,,,,
3E,female,NA,5/17/02,27.2,35.2,680,high,,,,
3E,female,NA,5/19/03,27.1,35.4,705,high,,,,
3E,female,NA,5/13/04,27,35.5,530,high,,,,
3F,male,6.8,6/17/02,20.1,27.1,365,high,,,,
3F,male,8.7,5/12/04,23.8,31.5,568,high,,,,
3F,male,9.7,5/15/05,26.1,34.5,715,high,,,,
3F,male,12.7,5/12/08,33.2,41.7,1672,high,,,,
3F,male,15.7,5/19/11,40,47.6,2450,high,,,,
3G,male,NA,5/14/05,28.5,37.1,940,high,,,,
3G,male,NA,5/18/09,32.6,NA,1153,high,,,,
3G,male,NA,5/18/13,35.1,NA,1458,high,,,,
3G,male,NA,5/17/17,34.1,NA,1200,high,,,,
3/6A,male,NA,5/21/13,28,34.8,724,high,,,,
3/8A,female,2.7,5/22/13,13.3,18.4,110,high,,,,
3/8A,female,4.7,5/18/15,15.2,21.4,170,high,,,,
3/8A,female,5.7,5/19/16,17,23.8,203,high,,,,
3/8A,female,6.7,5/14/17,18.5,25.1,261,high,,,,
3/8A,female,8.7,5/18/19,22.5,31.3,481,high,,,,
3/9A,male,NA,5/22/13,26,34.8,634,high,,,,
3/9A,male,NA,5/18/15,26.7,36,734,high,,,,
3/9A,male,NA,5/19/16,27.5,37.5,841,high,,,,
3/9A,male,NA,5/16/17,29.1,38,910,high,,,,
3/9A,male,NA,5/16/19,32.2,42.4,1395,high,,,,
3/9B,female,4.7,5/18/13,17.1,24.7,215,high,,,,
3/9B,female,6.7,5/18/15,20.5,29.1,322,high,,,,
3/9B,female,7.7,5/18/16,22.9,31.9,475,high,,,,
3/9B,female,8.7,5/16/17,24,31.1,480,high,,,,
3/9B,female,9.9,9/2/18,25.1,32.6,670,high,,,,
3/9B,female,10.7,5/18/19,26,33.2,725,high,,,,
3/9C,female,NA,5/18/15,26,36.4,670,high,,,,
3/9C,female,NA,5/22/16,26.5,37.2,790,high,,,,
3/9C,female,NA,5/16/17,27,37.2,681,high,,,,
3/9C,female,NA,5/23/19,NA,NA,875,high,,,,
3/0A,female,0.5,3/22/86,10.8,14.92,49,high,,,,
3/0A,female,6.5,3/21/92,14.61,20.96,127,high,,,,
3/0A,male,16.8,7/4/02,25.8,34,665,high,,,,
3/0A,male,31.7,5/14/17,28.8,37.8,793,high,,,,
3/0B,female,6.5,3/21/96,20.2,NA,280,high,,,,
3/0B,female,8.5,3/13/98,21.5,NA,350,high,,,,
3/0B,female,11.7,5/13/01,22.1,NA,375,high,,,,
3/0B,female,12.7,5/17/02,21.2,NA,305,high,,,,
3/0B,female,14.7,5/16/04,21.8,NA,356,high,,,,
3/0C,female,4.7,5/15/02,17,24.8,240,high,,,,
3/0C,female,6.7,5/12/04,19.2,26.7,258,high,,,,
3/0C,female,7.7,5/13/05,20.7,28.4,357,high,,,,
4D,male,NA,6/17/02,34.5,42.5,1535,high,,,,
4D,male,NA,5/19/09,34.3,42.5,1697,high,,,,
4/7A,male,2.7,5/17/15,15.2,21.7,110,high,,,,
4/7A,male,3.7,5/19/16,17.1,24.8,NA,high,,,,
4/7A,male,4.7,5/14/17,19.7,27.9,320,high,,,,
4/7A,male,5.7,6/4/18,22,31.7,525,high,,,,
4/8A,male,4.7,5/17/15,17.1,23.1,180,high,,,,
4/8A,male,5.7,5/19/16,18.9,25.7,253,high,,,,
4/8A,male,6.7,5/14/17,20.5,28.2,345,high,,,,
4/8A,male,7.9,9/2/18,25.2,33.6,660,high,,,,
4/9A,male,NA,5/18/13,22.9,30.3,350,high,,,,
4/9A,male,NA,5/19/16,25.6,29.6,655,high,,,,
4/9A,male,NA,6/23/16,26.5,34.1,585,high,,,,
4/9A,male,NA,9/2/16,26.5,34,615,high,,,,
4/9A,male,NA,5/16/17,27,34.7,630,high,,,,
