animal_id,sex,age,date,svl,tail-length,body-mass,feeding
1A,male,NA,3/16/82,NA,49.53,3140,moderate
1A,male,NA,3/14/83,46.36,50.8,3780,moderate
1A,male,NA,3/21/86,46.36,50.48,4565,moderate
1B,male,NA,3/10/80,37.47,45.72,2115,moderate
1B,male,NA,3/21/88,43.18,50.48,4295,moderate
1C,female,8.5,3/22/92,25.08,32.07,510,moderate
1C,female,12.5,3/24/96,25.1,32.5,775,moderate
1C,female,17.7,5/12/01,26.5,32.6,640,moderate
1C,female,19.7,5/16/03,26.1,32.5,455,moderate
1/0A,male,8.5,3/22/94,24.1,NA,520,moderate
1/0A,male,10.5,3/24/96,25.5,NA,600,moderate
1/0A,male,14.5,3/21/00,27.3,NA,945,moderate
1/0A,male,18.7,5/15/04,28.7,NA,819,moderate
1/0A,male,22.5,3/29/08,26.8,NA,915,moderate
1/0B,female,NA,3/20/95,28.5,37,935,moderate
1/0B,female,NA,3/23/96,30,37.2,1060,moderate
1/0B,female,NA,3/21/00,32.5,39.5,1445,moderate
1/0B,female,NA,5/11/01,32.3,40,1330,moderate
1/0B,female,NA,6/22/02,32.5,39.7,1145,moderate
1/0B,female,NA,5/15/04,32.5,40,1208,moderate
1/0B,female,NA,5/14/08,33.5,40,1440,moderate
1/0B,female,NA,5/16/10,33,39.8,1555,moderate
2A,male,NA,3/10/80,34.29,41.28,1400,moderate
2A,male,NA,3/15/82,36.2,44.45,1770,moderate
2B,female,NA,3/21/86,31.12,38.42,1110,moderate
2B,female,NA,3/21/88,30.8,39.37,985,moderate
2B,female,NA,3/22/90,31.12,39.05,990,moderate
2B,female,NA,3/22/92,31.12,39.37,1070,moderate
2B,female,NA,3/21/94,31.5,39.6,1198,moderate
2B,female,NA,3/20/95,31.7,39.6,995,moderate
2B,female,NA,3/23/96,31.8,39.8,1120,moderate
2B,female,NA,3/22/00,30.5,40,1225,moderate
2B,female,NA,7/4/01,31.6,40.4,NA,moderate
2C,male,NA,3/14/83,34.29,NA,2005,moderate
2C,male,NA,3/21/88,36.2,NA,1950,moderate
2C,male,NA,3/22/90,35.56,NA,1810,moderate
2C,male,NA,3/15/93,38.6,NA,1655,moderate
2C,male,NA,3/21/95,37,NA,1650,moderate
2C,male,NA,3/12/98,36.2,NA,1910,moderate
2/0A,female,8.5,3/22/94,25.2,31.4,750,moderate
2/0B,male,7.5,3/20/95,22.2,27.3,460,moderate
2/0B,male,10.5,3/12/98,25.2,30.9,660,moderate
2/0B,male,12.5,3/22/00,26.5,32.2,850,moderate
2/0B,male,13.8,6/16/01,28,33,NA,moderate
2/0B,male,14.8,6/28/02,28,32.6,865,moderate
2/0C,male,3.7,5/16/10,16.5,23,172,moderate
2/0C,male,4.7,5/22/11,19,26.2,250,moderate
2/0C,male,6.7,5/19/13,22.4,30.9,475,moderate
2/0C,male,8.7,5/21/15,25.4,35.5,659,moderate
2/0C,male,9.7,5/18/16,28,37.3,765,moderate
2/0C,male,9.8,6/24/16,27.7,37.5,735,moderate
2/0C,male,9.9,9/8/16,27.4,38,815,moderate
2/0C,male,10.7,5/18/17,28.5,38.2,865,moderate
2/0C,male,11.9,9/3/18,30,40.1,1180,moderate
2/0C,male,12.7,5/19/19,31,41,1150,moderate
3A,male,NA,3/10/80,33.66,39.05,1445,moderate
