animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
100,clipped #s 0 and 90,F,NA,16-May-13,9.4,16.8,43,high
130,982000409784587,F,NA,07-Sep-16,9.4,16.4,36,high
162,982000409784754,M,NA,04-Sep-18,9.5,16.6,41,high
112,989001000105625,F,NA,19-May-13,10.2,16.8,50,high
111,989001000105641,M,NA,19-May-13,10.2,17.1,49,high
219,982126056325303,M,NA,11-Jun-19,10.8,16.8,51,high
215,982126056325420,F,NA,11-Jun-19,10.9,17.3,54,high
129,982000409784636,M,NA,07-Sep-16,11.4,19.0,63,high
39,4B15712B11,F,NA,25-May-09,11.9,17.9,76,high
110,989001000105652,M,NA,19-May-13,14.2,23.5,149,high
51,4A0E382F76,F,NA,23-May-10,17.4,27.8,260,high
81,985121024903998,F,NA,22-May-12,17.6,30.3,320,high
207,982126056325373,M,NA,11-Jun-19,17.8,27.5,255,high
52,4B1D657437,F,NA,23-May-10,18.5,31.2,390,high
2,4139057415,M,NA,11-Nov-98,18.6,25.2,210,none
208,982126056325368,M,NA,11-Jun-19,19.7,30.6,410,high
65,985121024897825,F,NA,19-May-12,20.9,34.5,490,high
135,982000409784669,M,NA,07-Sep-16,21.4,34.4,490,high
32,4B1E23416A,F,NA,31-May-08,21.5,35.8,560,high
98,4B0A1B2A17,F,NA,16-May-13,22.8,38.4,620,high
55,4B1E08183B,M,NA,24-May-10,23.1,33.9,700,high
66,985121024802328,F,NA,19-May-12,23.4,39.5,680,high
54,4B21207A25,F,NA,24-May-10,23.4,36.7,640,high
59,4B21381E7E,M,NA,24-May-10,23.5,35.1,610,high
83,985121024810724,M,NA,22-May-12,24,40.5,920,high
133,982000409784572,M,NA,07-Sep-16,24.1,37.4,580,high
49,4B083A7D69,F,NA,23-May-10,24.7,37.9,720,high
209,982126056325355,F,NA,11-Jun-19,25,36.7,700,high
64,985121024826493,M,NA,19-May-12,25.5,38.5,800,high
81,985121024903998,F,NA,12-Apr-14,25.6,40.5,880,high
115,989001003028675,M,NA,12-Apr-14,25.7,42.6,905,high
135,982000409784669,M,NA,23-Apr-18,26,40.8,1120,high
99,985121024812169,M,NA,16-May-13,26,40.6,755,high
205,982126056325407,F,NA,11-Jun-19,26.1,34.4,780,high
197,982126056325424,F,NA,11-Jun-19,26.3,39.9,660,high
