animal_id,sex,age,date,svl,tail-length,body-mass,feeding
0A,female,NA,5/20/11,28.1,37.1,790,none
100A,female,6.7,5/20/11,19.5,26.3,275,none
100A,female,7.6,5/9/12,20.2,26.9,325,none
101A,male,NA,5/20/11,20.2,26.2,346,none
101B,female,NA,5/20/11,23,30.6,510,none
101B,female,NA,5/20/16,25.8,35,661,none
102A,male,NA,5/20/11,33.1,43.3,1225,none
102A,male,NA,5/20/16,35.5,45.4,1585,none
102A,male,NA,5/20/19,34.7,44.1,1510,none
103A,male,NA,5/9/12,20,27.5,323,none
103A,male,NA,6/24/16,26.6,35.5,705,none
103A,male,NA,5/16/17,26.2,36.5,735,none
103A,male,NA,9/10/16,25.7,35.3,625,none
104A,male,NA,5/9/12,19.9,26.6,320,none
104A,male,NA,5/20/16,23.6,31.8,585,none
104A,male,NA,6/24/16,25.3,32,585,none
104A,male,NA,5/16/17,24.4,33.2,625,none
105A,female,3.6,5/9/12,15.9,20.9,160,none
105A,female,7.7,5/20/16,22.2,29.1,480,none
105A,female,8.7,5/16/17,23.6,31.8,505,none
105A,female,9.7,6/3/18,24.5,32.7,625,none
107A,male,NA,5/9/12,20,25.7,333,none
107A,male,NA,6/24/16,28.3,36.5,935,none
109A,female,NA,5/9/12,22.8,29.9,500,none
109A,female,NA,5/16/17,24.5,31.6,580,none
110A,male,NA,5/9/12,19.7,26.6,318,none
110A,male,NA,5/20/16,26.6,35.1,843,none
111A,female,3.6,5/9/12,15.9,21.6,178,none
111A,female,7.7,5/20/16,22.5,30,474,none
113A,male,NA,5/9/12,21.2,29.4,393,none
114A,male,3.6,5/9/12,16.6,21.2,187,none
114A,male,7.7,5/22/16,20,26.1,350,none
114A,male,7.8,6/24/16,20.5,26.5,370,none
114A,male,9.7,6/2/18,21.3,27.6,465,none
11A,male,NA,5/13/01,46,49.3,NA,none
11A,male,NA,3/22/06,44.7,48.6,3392,none
11A,male,NA,6/29/07,45,49.8,3340,none
11B,female,NA,5/20/16,22.1,28.2,430,none
11B,female,NA,6/24/16,22.5,29.3,415,none
120A,male,NA,5/9/12,26.1,33.4,700,none
120A,male,NA,9/10/16,25.9,34.2,710,none
120A,male,NA,5/20/19,28.5,36.6,1040,none
12A,male,NA,5/13/01,42.5,45,NA,none
12A,male,NA,3/21/06,47,51.8,3732,none
12A,male,NA,5/19/10,44.2,53,3340,none
12A,male,NA,5/8/12,45.5,51.4,3490,none
12B,female,NA,5/20/16,16.6,22.8,202,none
13A,female,NA,5/19/03,26,37.5,790,none
13A,female,NA,5/15/08,31,42.5,1170,none
13A,female,NA,7/15/08,32,42,1166,none
13A,female,NA,7/15/09,34.3,42.6,1445,none
