animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
216,4B21115615,NA,NA,13-May-16,19.9,NA,250,moderate
50,4265337A2D,NA,DEAD,17-May-12,dead,dead,dead,moderate
129,45335D6A7F,NA,DEAD,17-May-12,dead,dead,dead,moderate
4,4138644779,F,NA,13-Nov-98,21.1,33.7,490,moderate
5,413863612B,F,NA,13-Nov-98,24,34.7,530,moderate
8,41390C3B64,F,NA,13-Nov-98,26.2,35.0,675,moderate
10,4138753A7A,F,NA,13-Nov-98,27.6,37.6,830,moderate
11,413903685C,F,NA,13-Nov-98,22,32.8,420,moderate
13,41395E7943,F,NA,13-Nov-98,26.6,35.8,790,moderate
16,4139043375,F,NA,13-Nov-98,24,32.3,420,moderate
17,41387E7055,F,NA,13-Nov-98,29.1,38.1,910,moderate
8,41390C3B64,F,NA,28-May-99,24.4,34.1,650,moderate
23,41390B4577,F,NA,28-May-99,30,39.1,750,moderate
4,4138644779,F,NA,23-May-00,23.5,34.6,515,moderate
26,502013346E,F,NA,23-May-00,25.6,37.3,710,moderate
11,413903685C,F,NA,31-May-00,24.8,36.0,555,moderate
30,5020141626,F,NA,31-May-00,23.9,32.6,425,moderate
88,442222613E,F,NA,21-May-03,24.6/24.3,32.0,620,moderate
49,lost PIT tag,F,NA,29-May-03,23.1,23.3,295,moderate
102,4424227666,F,NA,29-May-03,28.2/28.6,39.7,930,moderate
73,42642E0A6E,F,NA,27-May-05,32.4,47.1,1430,moderate
114,445D6F683C,F,NA,27-May-05,19.2,29.5,360,moderate
62,4263764D0F,F,NA,28-May-05,26.8,39.2,810,moderate
102,4424227666,F,NA,04-Jun-05,29.2,38.8,930,moderate
50,4265337A2D,F,NA,27-May-06,28.1,38.0,1030,moderate
102,4424227666,F,NA,28-May-06,30,39.6,1050,moderate
80,44221E2270,F,NA,04-Jun-06,27.2,37.9,810,moderate
30,5020141626,F,NA,27-May-07,26.2/26.1,35.5/35.5,790,moderate
35,5020132C56,F,NA,27-May-07,27.0/27.0,40.2/40.5,790,moderate
142,453F600718,F,NA,27-May-07,16.0/16.1,24.5/24.2,190,moderate
5,413863612B,F,NA,24-May-08,25,38.8,780,moderate
8,41390C3B64,F,NA,24-May-08,28.4,37.2,880,moderate
99,442471304F,F,NA,24-May-08,18,22.7,250,moderate
114,445D6F683C,F,NA,24-May-08,27.1,40.7,1000,moderate
136,4534786928,F,NA,24-May-08,21.1,33.4,400,moderate
4,4138644779,F,NA,25-May-08,27.1,36.6,770,moderate
123,452E2F4370,F,NA,25-May-08,25,31.1,640,moderate
153,452E323A32,F,NA,25-May-08,23,34.1,520,moderate
79,44243F3D6D,F,NA,01-Jun-08,29,40.0,1080,moderate
102,4424227666,F,NA,01-Jun-08,29.7,39.5,1020,moderate
39,42654C025D,F,NA,23-May-09,26,25.6/28.1,710,moderate
50,4265337A2D,F,NA,23-May-09,28.4,38.1,1020,moderate
102,4424227666,F,NA,23-May-09,28.9,39.3,1120,moderate
146,452E717F60,F,NA,23-May-09,26.5,36.7,750,moderate
88,442222613E,F,NA,24-May-09,25,29.8/31.8,620,moderate
4,4138644779,F,NA,30-May-09,25.5,36.9,810,moderate
168,491A1D3348,F,NA,30-May-09,22.8,35.5,590,moderate
228,4B21157739,F,NA,30-May-09,18.4,28.7,280,moderate
47,501D517761,F,NA,31-May-09,31.4,45.3,1020,moderate
59,501F776B48,F,NA,31-May-09,27.4,40.8,1050,moderate
129,45335D6A7F,F,NA,31-May-09,26.3,40.7,800,moderate
54,42640A7314,F,NA,20-May-10,24.8,34.4,680,moderate
77,9.85121E+14,F,NA,20-May-10,24.5,35.1,560,moderate
