animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
6,452F060F65,F,NA,08-Apr-06,24.9,39.0,620,none
11,453805380F,F,NA,08-Apr-06,18.5,25.9,220,none
14,452E2F4F2C,F,NA,08-Apr-06,23.7,8.3/16.5,380,none
64,4A0E4E516B,F,NA,30-Mar-10,23.5,34.4,640,none
71,4B08361D48,F,NA,31-Mar-10,27.0,33.8,810,none
73,4B0A146323,F,NA,31-Mar-10,29.2,39.2,890,none
71,4B08361D48,F,NA,17-Apr-12,27.1,34.0,990,none
77,985121021211727,F,NA,17-Apr-12,27.8,39.2,900,none
78,985121021213512,F,NA,17-Apr-12,24.1,36.1,730,none
82,985121021198254,F,NA,17-Apr-12,26.1,35.6,660,none
84,985121021212013,F,NA,17-Apr-12,25.0,36.4,720,none
85,985121021217266,F,NA,17-Apr-12,26.3,32.1,720,none
88,985121021187933,F,NA,17-Apr-12,28.8,38.8,970,none
97,985121021199946,F,NA,17-Apr-12,23.6,27.7/29.1,690,none
99,985121021199725,F,NA,17-Apr-12,26.3,36.5,850,none
102,985121021187337,F,NA,17-Apr-12,24.5,37.2,780,none
104,989001000105610,F,NA,09-Apr-14,24.7,33.7,715,none
108,989001000105598,F,NA,09-Apr-14,30.0,24.4/28.6,1020,none
109,989001000105584,F,NA,09-Apr-14,26.5,31.4,800,none
113,989001000105566,F,NA,09-Apr-14,24.9,36.0,560,none
121,989001000105608,F,NA,09-Apr-14,27.1,35.0,810,none
126,989001000105583,F,NA,09-Apr-14,27.5,32.7,798,none
14,452E2F4F2C,F,NA,21-Jun-16,25.6,9.0/18.5,530,none
61,4B07766972,F,NA,21-Jun-16,25.0,37.0,700,none
114,989001000105630,F,NA,21-Jun-16,26.4,36.0,545,none
141,989001003028633,F,NA,21-Jun-16,26.4,10.2/21.0,810,none
152,982000403120621,F,NA,21-Jun-16,31.1,42.3,1070,none
154,982000403120771,F,NA,21-Jun-16,27.0,14.0,720,none
155,982000403120720,F,NA,21-Jun-16,27.4,22/26.2,740,none
158,982000403120752,F,NA,21-Jun-16,26.5,27/28.1,915,none
159,982000403120641,F,NA,21-Jun-16,24.2,32.8,550,none
164,982000403120734,F,NA,21-Jun-16,25.0,35.5,780,none
165,982000403120705,F,NA,21-Jun-16,25.5,24.3/28.4,550,none
166,982000403120700,F,NA,21-Jun-16,25.5,18.5/22.4,720,none
168,982000403120611,F,NA,21-Jun-16,27.6,35.7,855,none
170,982000403120712,F,NA,21-Jun-16,25.6,38.3,815,none
171,982000403120764,F,NA,21-Jun-16,27.0,38.2,845,none
172,982000403120718,F,NA,21-Jun-16,25.7,37.3,760,none
173,982000403120735,F,NA,21-Jun-16,27.6,42.0,960,none
175,982000403120675,F,NA,21-Jun-16,25.8,35.2,750,none
97,985121021199946,F,NA,22-Jun-16,24.8,29.1/30.3,530,none
131,989001000105649,F,NA,22-Jun-16,25.9,40.2,770,none
199,982000403120634,F,NA,22-Jun-16,26.2,37.8,700,none
200,982000403120612,F,NA,22-Jun-16,25.2,27.4/29.5,695,none
64,4A0E4E516B,F,NA,06-Jun-18,26.2,35.7,715,none
15,4B06361E7E,F,NA,26-Mar-08,26.0,38.5,950,none
38,4B1023752C,F,NA,26-Mar-08,31.2,47.4,1460,none
4,452F002F0D,F,NA,30-Mar-10,21.9,33.9,500,none
15,4B06361E7E,F,NA,17-Apr-12,28.2,38.2,1040,none
100,985121021183918,F,NA,17-Apr-12,25.0,28.1,610,none
112,989001000105637,F,NA,09-Apr-14,26.1,8/20.6,660,none
114,989001000105630,F,NA,09-Apr-14,26.2,34.9,700,none
116,989001000105585,F,NA,09-Apr-14,27.0,22.5/27.2,760,none
123,989001000105568,F,NA,09-Apr-14,26.5,35.0,740,none
132,989001000105597,F,NA,09-Apr-14,25.5,34.7,615,none
140,989001003028711,F,NA,09-Apr-14,30.8,44.3,1230,none
141,989001003028633,F,NA,09-Apr-14,27.3,10.2/21.5,805,none
113,989001000105566,F,NA,21-Jun-16,24.5,36.1,610,none
132,989001000105597,F,NA,21-Jun-16,25.5,35.8,530,none
150,982000403102659,F,NA,21-Jun-16,26.0,36.3,730,none
151,982000403120783,F,NA,21-Jun-16,25.5,27.7/32.2,790,none
