animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding,
28,453517446E,F,NA,07-Apr-06,22.5,13.4/22.2,530,none,
55,4B06665907,F,NA,25-Mar-08,24.2,33.9,540,none,
62,4A0E3E7E39,F,NA,25-Mar-08,20.6,30.4,390,none,
48,4A0E472702,F,NA,29-Mar-10,26.5,35.5,810,none,
52,4B0E7E775D,F,NA,29-Mar-10,25.6,39.5,680,none,
58,4A0E513913,F,NA,29-Mar-10,22.5,32.6,470,none,
94,4B0A06574F,F,NA,31-Mar-10,25.5,14.1/25.8,690,none,
2,442A5B742A,F,NA,16-Apr-12,28.7,40.4,1000,none,
11,4535091946,F,NA,16-Apr-12,25.9,36.1,690,none,
19,44614A3837,F,NA,16-Apr-12,6,35.4,730,none,
24,4425093A14,F,NA,16-Apr-12,25.1,35.5,690,none,
38,4B101E605F,F,NA,16-Apr-12,26.5,36.5,770,none,
42,4A0E512A7A,F,NA,16-Apr-12,27.6,32.4,930,none,
43,4A0E525839,F,NA,16-Apr-12,25.9,37.9,780,none,
47,4A0E445541,F,NA,16-Apr-12,28.1,35.8,990,none,
80,4A0E41264A,F,NA,16-Apr-12,25.9,39.7,810,none,
92,4B08502B06,F,NA,16-Apr-12,25.5,37.4,750,none,
30,4534012D12,F,NA,18-Apr-12,25.9,35.1,810,none,
44,4A0E462635,F,NA,18-Apr-12,26.7,39.7,790,none,
56,4B0F1A080C,F,NA,18-Apr-12,27,37.6,870,none,
95,4A0E4E442C,F,NA,18-Apr-12,26.5,38.5,830,none,
6,45346E680C,F,NA,08-Apr-14,26.6,29.8/30.5,695,none,
18,452E786A64,F,NA,08-Apr-14,27.5,35.7,660,none,
19,44614A3837,F,NA,08-Apr-14,26.4,36,625,none,
45,4B06000656,F,NA,08-Apr-14,26.5,36.4,710,none,
48,4A0E472702,F,NA,08-Apr-14,26.6,36,550,none,
52,4B0E7E775D,F,NA,08-Apr-14,26.5,20.2,620,none,
60,4A0E415060,F,NA,08-Apr-14,25.6,36.1,630,none,
66,4B10325379,F,NA,08-Apr-14,28.1,36.5,445,none,
69,4A0E507F50,F,NA,08-Apr-14,26.8,39,805,none,
76,4A0E3B1D4C,F,NA,08-Apr-14,27,37.1,645,none,
80,4A0E41264A,F,NA,08-Apr-14,26.7,40.1,790,none,
107,985121021217197,F,NA,08-Apr-14,24.6,34.5,590,none,
121,989001000105570,F,NA,08-Apr-14,27.2,13.2/25.6,390,none,
2,442A5B742A,F,NA,20-Jun-16,29.5,40.6,1005,none,
19,44614A3837,F,NA,20-Jun-16,26.8,35.6,755,none,
41,4A0D4E7B09,F,NA,20-Jun-16,28.9,40.3,965,none,
71,4A0E423647,F,NA,20-Jun-16,26.3,34.8,770,none,
132,982000403120677,F,NA,08-Jun-19,26.4,16.8/25.8,775,none,
137,982000403120672,F,NA,08-Jun-19,28.4,36.6,1000,none,
6,45346E6803,F,NA,07-Apr-06,23,27.6,420,none,
34,4A0E477705,F,NA,24-Mar-08,25.5,34.5,690,none,
38,4B101E605F,F,NA,24-Mar-08,24.8,36,630,none,
39,4A0E381E28,F,NA,24-Mar-08,21.2,33,420,none,
41,4A0D4E7B09,F,NA,24-Mar-08,27.2,39.9,850,none,
55,4B06665907,F,NA,29-Mar-10,25,35.2,670,none,
74,4B096F6C45,F,NA,29-Mar-10,25.1,37,630,none,
76,4A0E3B1D4C,F,NA,29-Mar-10,25.9,36.5,740,none,
90,4B080F112C,F,NA,31-Mar-10,24.3,36.6,650,none,
102,985121021188915,F,NA,16-Apr-12,24.1,35.7,700,none,
106,985121021202602,F,NA,16-Apr-12,9.1,39,730,none,
115,989001000105578,F,NA,08-Apr-14,25.2,32.5,635,none,
122,989001000105631,F,NA,08-Apr-14,28.2,37.9,830,none,
139,982000403120614,F,NA,20-Jun-16,25,32.4,515,none,
28,453517446E,F,NA,08-Jun-18,26.6,15.5/24.1,835,none,
60,4A0E415060,F,NA,08-Jun-18,26.7,37,910,none,
72,4B0807426B,F,NA,08-Jun-18,24.9,35,635,none,
80,4A0E41264A,F,NA,08-Jun-18,28.1,40.5,955,none,
147,982000407478951,F,NA,08-Jun-18,27.9,38.3,1070,none,
139,982000403120614,F,NA,08-Jun-19,26.1,32.4,680,none,
18,452E786A64,F,NA,07-Apr-06,26.3,37.4,740,none,
48,4A0E472702,F,NA,24-Mar-08,27,35.5,840,none,
60,4A0E415060,F,NA,25-Mar-08,24.7,35.4,660,none,
2,442A58742A,F,NA,29-Mar-10,28.5,40.5,1030,none,
71,4A0E423647,F,NA,29-Mar-10,25.5,34.8,660,none,
81,4A0E3E0E3D,F,NA,29-Mar-10,22.1,31.6,430,none,
95,4A0E4E442C,F,NA,31-Mar-10,26.5,39.1,860,none,
98,985121021186617,F,NA,16-Apr-12,27.1,36.2,810,none,
104,985121021215861,F,NA,16-Apr-12,26.5,37.4,840,none,
62,4A0E3E7E39,F,NA,20-Jun-16,25.9,36.6,655,none,
134,982000403120800,F,NA,20-Jun-16,26.2,27.0/32.1,760,none,
137,982000403120672,F,NA,20-Jun-16,28.2,38.1,970,none,
73,4A0E444F4D,F,NA,08-Jun-18,29.1,38.8,885,none,
94,4B0A06574F,F,NA,08-Jun-18,27,14.2/26.0,830,none,
19,44614A3837,F,NA,08-Jun-19,26.7,36.5,812,none,
